timestamp,ip,port,hostname,tag,handshake,asn,geo,region,city,rdp_protocol,cert_length,subject_common_name,issuer_common_name,cert_issue_date,cert_expiration_date,sha1_fingerprint,cert_serial_number,ssl_version,signature_algorithm,key_algorithm,sha256_fingerprint,sha512_fingerprint,md5_fingerprint,naics,sic,sector
3/25/2018 8:30,45.117.77.69,3389,mail.bikelife.com.vn,rdp,,131428,VN,HO CHI MINH,THANH PHO HO CHI MINH,RDP,2048,WIN-7DD21FRCCJH,WIN-7DD21FRCCJH,1/22/2018 17:00,7/24/2018 17:00,1B:BC:58:81:70:F0:AF:AE:88:98:47:85:32:7D:83:43:83:97:8E:2B,2DB0293B3616EBA244713DAA1F23896D,2,sha256WithRSAEncryption,rsaEncryption,2B:B2:B1:05:B6:B8:0E:E3:77:B6:2D:53:23:C7:2A:BB:C7:0C:D7:13:2B:07:B9:07:EC:D8:41:33:2F:D5:0F:64,8B:D0:8E:8F:87:DA:22:94:5E:CA:7C:05:97:F0:E9:C5:63:B5:5D:30:88:81:9D:DA:E9:42:25:86:76:68:74:47:D9:9A:F7:AD:6B:15:0D:A9:83:6F:EB:D7:FD:2E:9B:45:39:78:B7:36:7E:AF:32:E5:9B:63:6C:A1:62:04:E9:D5,CC:10:81:FB:FE:FC:6E:0A:04:32:55:E3:98:47:B6:72,0,0,Communications
3/25/2018 8:30,210.86.224.138,3389,ci224-138.netnam.vn,rdp,,24173,VN,HA GIANG,THUONG BINH,RDP,2048,WEB-BACKUP,WEB-BACKUP,1/5/2018 5:00,7/7/2018 5:00,97:47:24:7E:01:96:5E:7B:7F:AB:EB:A6:31:75:0B:4D:D6:7C:92:81,37313C8CEEED35814DF2367E963214DF,2,sha1WithRSAEncryption,rsaEncryption,DD:F7:2C:D3:44:66:52:CB:FD:46:43:F9:63:82:9A:E9:9D:96:37:16:E3:9E:D3:F9:C4:0D:F0:9D:6C:F1:51:09,1A:06:96:D2:AB:6B:BD:E7:C4:F5:B9:AC:CA:CB:FD:FA:8B:F8:37:A7:67:75:3E:E5:41:E8:E2:31:8B:19:0C:4D:A7:6B:B0:35:7A:49:99:19:24:91:53:4A:F9:2A:B3:78:45:2E:98:50:94:BF:38:C8:13:7F:36:B5:D9:3C:E1:C8,55:FE:2A:63:7F:C1:79:ED:EC:E0:0A:57:8D:A9:1C:78,0,0,Communications
3/25/2018 8:30,45.124.95.179,3389,,rdp,,45899,VN,HA NOI,HANOI,RDP,2048,asewrew,asewrew,3/22/2018 18:58,9/21/2018 18:58,74:44:3D:71:2E:D5:6A:BB:B7:1C:AB:8D:51:69:09:49:24:5D:84:95,7837CCFDC565B891451B99AA71F9FF5C,2,sha1WithRSAEncryption,rsaEncryption,E8:D1:34:0F:08:60:B3:F3:7D:8D:18:AA:16:02:84:EE:00:F0:2A:94:05:1E:A6:AF:51:DE:39:C1:57:75:7A:0D,8D:E4:CC:90:6F:FB:0E:39:26:19:C7:1A:A4:C2:28:A3:A4:C1:BC:AA:E0:BF:7B:CD:67:5A:DC:98:A7:2B:FF:AC:73:A7:4B:E5:16:D0:43:97:94:45:3E:FF:FF:DE:14:EE:76:76:11:E5:BF:26:19:9E:CD:D7:A1:A8:A3:FE:3D:78,F5:E8:0F:D4:3A:29:82:C0:FF:DA:2C:B5:9E:A9:D7:AB,0,0,Communications
3/25/2018 8:30,27.72.44.130,3389,,rdp,,7552,VN,HA NOI,HANOI,RDP,2048,CBS_01711161029,CBS_01711161029,11/15/2017 3:36,5/17/2018 3:36,06:79:F4:B9:0D:A5:AC:9F:EA:D3:C3:4C:D7:62:03:5C:A3:40:42:F8,3AAB13B1A558C8B641585A6EB9B81872,2,sha1WithRSAEncryption,rsaEncryption,90:5C:9A:E8:9B:0E:5F:6B:66:EC:53:44:DE:5A:4B:E5:4D:16:24:81:9B:9B:88:AA:25:08:E8:D7:D0:44:FA:70,D6:81:88:FB:B1:18:9A:92:B2:AA:B7:59:98:18:67:AC:83:64:56:73:C8:C6:61:E6:B5:9E:C5:F6:FA:00:55:F6:EB:58:93:E1:4F:60:4D:29:DA:23:98:EB:E3:62:17:60:E7:96:EF:09:21:0B:6A:FA:B0:69:90:CA:36:1E:00:A2,62:25:C2:25:01:40:46:72:40:DC:ED:34:42:6D:89:C0,0,0,Communications
3/25/2018 8:30,117.3.118.25,3389,,rdp,,7552,VN,GIA LAI,PLEIKU,RDP,2048,SERVER,SERVER,11/2/2017 11:10,5/4/2018 11:10,04:D1:0A:93:D3:DB:5B:7F:07:8E:E6:04:23:A9:C6:67:C9:CF:94:1F,1016A353263A21A1445E71C9F99CDC56,2,sha1WithRSAEncryption,rsaEncryption,C2:59:AE:0F:6B:D2:53:50:C5:A0:7A:FA:E4:46:36:EE:33:D5:D8:C5:96:FA:C9:8C:29:AA:49:8F:BE:A1:09:1A,D1:E1:12:57:F3:18:42:26:D9:82:1D:D2:EF:5A:B8:9D:47:2D:11:31:47:72:BA:B7:E4:C4:97:90:32:EC:B3:2F:63:FC:BE:2B:ED:3D:63:AD:A5:87:EA:92:9D:D6:4E:98:17:F5:2D:8A:D0:07:45:B5:7C:C3:A6:E4:0F:D7:58:2A,69:02:7D:83:B8:9C:14:FD:F2:23:15:79:0B:BF:F7:71,0,0,Communications
3/25/2018 8:30,222.255.130.107,3389,static.vnpt.vn,rdp,,45899,VN,DA NANG,DA NANG,CredSSP_Enforced,2048,WIN-IJ5DF4T2MNT,WIN-IJ5DF4T2MNT,1/17/2018 1:35,7/19/2018 1:35,83:6E:AC:D9:E3:5E:18:35:11:04:FF:E4:CD:23:5F:8B:14:6E:88:C3,4C6A44B17BE7E18F4E54F29C4EE73C1C,2,sha256WithRSAEncryption,rsaEncryption,08:B4:52:D0:0A:77:9A:19:25:2C:7E:86:B2:65:72:DD:B3:61:E4:22:88:BB:24:22:71:62:E5:C1:FC:19:24:F0,E8:50:09:30:5A:74:3D:55:D9:43:4F:D3:EB:92:FD:5F:69:31:41:BB:CD:08:EE:F8:86:8B:3F:50:DF:CC:DE:E7:5D:DC:05:F4:D7:A0:A1:8D:84:6A:BA:59:71:E8:8F:85:A7:06:8F:D9:2E:DA:33:70:24:BF:D9:C3:AE:C9:AE:C0,61:BF:62:7B:34:1A:AA:92:43:8B:71:53:D5:88:05:71,0,0,Communications
3/25/2018 8:30,112.213.84.43,3389,mx8443.superdata.vn,rdp,,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,RDP,,,,,,,,,,,,,,0,0,Communications
3/25/2018 8:30,14.171.58.227,3389,static.vnpt.vn,rdp,,45899,VN,HA NOI,HANOI,RDP,2048,SVBR_M,SVBR_M,1/28/2018 12:21,7/30/2018 12:21,33:7A:8F:86:E7:E7:70:76:D9:5C:E3:0A:34:F2:C4:55:54:89:6D:B3,24CE5CED5EF0818F4A3587996B5FD076,2,sha1WithRSAEncryption,rsaEncryption,B5:AD:8C:F7:BE:B7:15:21:57:5A:EF:68:85:8D:D1:5B:6D:E8:CD:15:52:0B:85:01:43:5F:E5:C8:1B:C6:AF:C9,31:33:6A:D9:67:31:7D:30:24:F4:F8:AC:92:F0:10:E4:39:77:4A:38:42:AA:AB:5E:08:DD:B8:51:1D:4C:AC:5D:02:8B:51:1E:69:7D:78:31:A3:89:D6:45:87:53:B7:78:07:38:78:60:AA:70:D4:B6:DE:CB:A8:66:B6:A8:93:CD,BE:D0:BC:B2:AE:9F:D7:58:DB:73:8C:05:39:A5:25:11,0,0,Communications
3/25/2018 8:30,103.75.182.227,3389,,rdp,,38733,VN,BAC NINH,BAC NINH,RDP,2048,cus29-PC,cus29-PC,12/15/2017 8:04,6/16/2018 8:04,AA:4C:54:B6:FB:94:B4:C8:03:FF:05:D7:E9:30:FA:73:20:42:B6:2A,60DA70AE6E07A6964EDD094276E49B7C,2,sha1WithRSAEncryption,rsaEncryption,6D:3D:0C:FF:21:CD:D8:47:9D:5E:94:0A:C9:93:7D:20:EE:94:FD:56:FD:0D:ED:86:69:63:B5:81:E2:2E:15:CE,40:BB:E1:FD:E2:DA:CC:3E:42:D8:11:4C:B8:E8:F1:24:9E:E4:90:C7:63:66:14:DA:51:1E:82:51:13:92:5A:36:48:E3:B3:62:23:85:B4:FD:1F:5E:50:F6:53:45:DE:6D:3F:A5:04:C7:B8:C9:31:2C:9A:3C:3B:8F:6F:41:B4:34,B4:5E:0A:82:0D:39:54:90:4D:8E:4A:C1:56:C7:2E:40,0,0,Communications
3/25/2018 8:30,14.186.69.36,3389,static.vnpt.vn,rdp,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,RDP,,,,,,,,,,,,,,0,0,Communications
