timestamp,ip,protocol,port,hostname,tag,dns_version,asn,geo,region,city,min_amplification,p0f_genre,p0f_detail,naics,sic,sector
3/25/2018 0:09,113.176.167.153,udp,53,static.vnpt.vn,openresolver,DNS Caching VDC3,45899,VN,KON TUM,KON TUM,1.6429,,,0,0,Communications
3/25/2018 0:09,123.22.94.222,udp,53,,openresolver,dnsmasq-2.49,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.6429,,,0,0,Communications
3/25/2018 0:09,14.172.8.124,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.55,45899,VN,HA NOI,HANOI,1.6429,,,0,0,Communications
3/25/2018 0:09,14.187.94.100,udp,53,static.vnpt.vn,openresolver,DNS server,45899,VN,HA NOI,HANOI,1.381,,,0,0,Communications
3/25/2018 0:09,123.21.107.187,udp,53,,openresolver,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,0,0,Communications
3/25/2018 0:09,14.169.165.137,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.49,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,0,0,Communications
3/25/2018 0:09,27.72.137.29,udp,53,,openresolver,dnsmasq-2.72,7552,VN,HA NOI,HANOI,3.8095,,,0,0,Communications
3/25/2018 0:09,113.175.66.32,udp,53,static.vnpt.vn,openresolver,DNS server,45899,VN,HA NOI,HANOI,1.381,,,0,0,Communications
3/25/2018 0:09,123.23.125.77,udp,53,,openresolver,,45899,VN,CA MAU,CA MAU,1.381,,,0,0,Communications
3/25/2018 0:09,27.73.31.9,udp,53,localhost,openresolver,x.x.x,7552,VN,HA NOI,HANOI,2.6667,,,0,0,Communications
3/25/2018 0:09,113.160.161.119,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.2,45899,VN,HA NOI,HANOI,1.381,,,0,0,Communications
3/25/2018 0:09,118.69.82.165,udp,53,,openresolver,,18403,VN,DONG NAI,BIEN HOA,1.381,,,518111,737401,Communications
3/25/2018 0:09,113.180.8.112,udp,53,static.vnpt.vn,openresolver,,45899,VN,DONG NAI,BIEN HOA,1.381,,,0,0,Communications
3/25/2018 0:09,113.190.197.127,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.49,45899,VN,HA NOI,HANOI,1.381,,,0,0,Communications
3/25/2018 0:09,115.74.202.19,udp,53,adsl.viettel.vn,openresolver,,7552,VN,HA NOI,HANOI,1.381,,,0,0,Communications
3/25/2018 0:09,14.228.188.36,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.78,45899,VN,BAC GIANG,BAC GIANG,1.381,,,0,0,Communications
3/25/2018 0:09,113.182.194.188,udp,53,static.vnpt.vn,openresolver,DNS server,45899,VN,HA NOI,HANOI,1.381,,,0,0,Communications
3/25/2018 0:09,14.175.18.226,udp,53,static.vnpt.vn,openresolver,Blue!,45899,VN,HAI PHONG,HAI PHONG,1.381,,,0,0,Communications
3/25/2018 0:09,14.176.1.114,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.51,45899,VN,HA NOI,HANOI,1.381,,,0,0,Communications
3/25/2018 0:09,116.110.38.245,udp,53,,openresolver,x.x.x,24086,VN,DA NANG,DA NANG,2.6667,,,0,0,Communications
3/25/2018 0:09,123.16.243.50,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.78,45899,VN,HA NOI,HANOI,1.381,,,0,0,Communications
3/25/2018 0:09,113.161.166.69,udp,53,static.vnpt.vn,openresolver,,45899,VN,HA NOI,HANOI,1.381,,,0,0,Communications
3/25/2018 0:09,117.7.251.248,udp,53,localhost,openresolver,dnsmasq-2.49,7552,VN,HA NOI,HANOI,2.6667,,,0,0,Communications
3/25/2018 0:09,117.1.188.158,udp,53,localhost,openresolver,dnsmasq-2.49,7552,VN,HA NOI,HANOI,2.6667,,,0,0,Communications
3/25/2018 0:09,123.21.96.93,udp,53,,openresolver,dnsmasq-2.49,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,0,0,Communications
3/25/2018 0:09,113.173.121.128,udp,53,static.vnpt.vn,openresolver,DNS server,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,0,0,Communications
3/25/2018 0:09,113.162.215.140,udp,53,static.vnpt.vn,openresolver,DNS server,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,0,0,Communications
3/25/2018 0:09,118.70.8.50,udp,53,,openresolver,Microsoft DNS 6.1.7601 (1DB15D39),18403,VN,HA NOI,HANOI,1.381,,,518111,737401,Communications
3/25/2018 0:09,123.24.98.156,udp,53,dynamic.vdc.vn,openresolver,dnsmasq-2.40,45899,VN,HA NOI,HANOI,1.381,,,0,0,Communications
3/25/2018 0:09,113.182.194.51,udp,53,static.vnpt.vn,openresolver,DNS server,45899,VN,HA NOI,HANOI,1.381,,,0,0,Communications
3/25/2018 0:09,113.161.75.111,udp,53,mail.sagri.com.vn,openresolver,dnsmasq-2.72,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,0,0,Communications
3/25/2018 0:09,123.21.77.22,udp,53,,openresolver,dnsmasq-2.49,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,1.381,,,0,0,Communications
3/25/2018 0:09,27.79.60.122,udp,53,localhost,openresolver,x.x.x,7552,VN,HA NOI,HANOI,3.8095,,,0,0,Communications
3/25/2018 0:09,222.252.63.252,udp,53,static.vnpt.vn,openresolver,dnsmasq-2.49,45899,VN,HA NOI,HANOI,1.381,,,0,0,Communications
