timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,gitversion,sysinfo,opensslversion,allocator,javascriptengine,bits,maxbsonobjectsize,ok,visible_databases,sector
3/24/2018 7:55,61.28.227.142,tcp,27017,,mongodb,3.0.3,38244,VN,HA NOI,HANOI,0,0,b40106b36eecd1b4407eb1ad1af6bc60593c6105,Linux ip-10-182-86-231 2.6.32-220.el6.x86_64 #1 SMP Wed Nov 9 08:03:13 EST 2011 x86_64 BOOST_LIB_VERSION=1_49,OpenSSL 1.0.1e-fips 11 Feb 2013,tcmalloc,V8,64,16777216,1,none visible,Communications
3/24/2018 7:55,125.212.192.13,tcp,27017,mail.santhe247.vn,mongodb,3.6.0,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,a57d8e71e6998a2d0afde7edc11bd23e5661c915,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
3/24/2018 7:55,103.68.82.73,tcp,27017,,mongodb,3.4.4,45538,VN,HA NOI,HANOI,0,0,888390515874a9debd1b6c5d36559ca86b44babd,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
3/24/2018 7:55,112.213.94.53,tcp,27017,mx9453.superdata.vn,mongodb,3.4.7,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,cf38c1b8a0a8dca4a11737581beafef4fe120bcd,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
3/24/2018 7:55,171.244.10.53,tcp,27017,,mongodb,3.4.8,38731,VN,HA NOI,HANOI,0,0,8ef456f89f63ab12941fe6b5352b20cff2522da3,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
3/24/2018 7:55,125.212.203.65,tcp,27017,,mongodb,3.4.0,7552,VN,HA NOI,HANOI,0,0,f4240c60f005be757399042dc12f6addbc3170c1,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
3/24/2018 7:55,103.90.228.102,tcp,27017,,mongodb,2.6.12,63731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,d73c92b1c85703828b55c2916a5dd4ad46535f6a,Linux build5.ny.cbi.10gen.cc 2.6.32-431.3.1.el6.x86_64 #1 SMP Fri Jan 3 21:39:27 UTC 2014 x86_64 BOOST_LIB_VERSION=1_49,,tcmalloc,V8,64,16777216,1,local | Warning,Communications
3/24/2018 7:55,112.213.84.10,tcp,27017,mx8410.superdata.vn,mongodb,3.2.18,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,4c1bae566c0c00f996a2feb16febf84936ecaf6f,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
3/24/2018 7:56,27.72.60.150,tcp,27017,,mongodb,3.6.2,7552,VN,HA NOI,HANOI,0,0,489d177dbd0f0420a8ca04d39fd78d0a2c539420,deprecated,,tcmalloc,mozjs,64,16777216,1,none visible,Communications
3/24/2018 7:56,123.31.41.48,tcp,27017,localhost,mongodb,3.4.10,45899,VN,HA NOI,HANOI,0,0,078f28920cb24de0dd479b5ea6c66c644f6326e9,deprecated,,tcmalloc,mozjs,64,16777216,1,Warning | WrtLink | local,Communications
