"timestamp","ip","protocol","port","hostname","tag","version","asn","geo","region","city","naics","sic","ok","name","cluster_name","status","build_hash","build_timestamp","build_snapshot","lucene_version","tagline","sector"
"2018-03-24 04:18:01","125.212.253.43","tcp",9200,,"elasticsearch","1.7.5",38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,,"Carnivore","elasticsearch",200,"00f95f4ffca6de89d68b7ccaf80d148f1f70e4d4","2016-02-02T09:55:30Z","false","4.10.4","You Know, for Search","Communications"
"2018-03-24 04:18:03","119.17.222.21","tcp",9200,"static.netnam.vn","elasticsearch","6.1.1",24173,"VN","HA NOI","HANOI",0,0,,"2cI5toW","antivirus-broker",,"bd92e7f",,"false","7.1.0","You Know, for Search","Communications"
"2018-03-24 04:18:04","123.30.174.148","tcp",9200,"static.vnpt.vn","elasticsearch","1.5.0",45899,"VN","HA NOI","HANOI",0,0,,"es_148","egroup_dev",200,"544816042d40151d3ce4ba4f95399d7860dc2e92","2015-03-23T14:30:58Z","false","4.10.4","You Know, for Search","Communications"
"2018-03-24 04:18:05","118.69.19.106","tcp",9200,,"elasticsearch","2.1.1",18403,"VN","HA NOI","HANOI",518111,737401,,"Mammomax","elasticsearch",,"40e2c53a6b6c2972b3d13846e450e66f4375bd71","2015-12-15T13:05:55Z","false","5.3.1","You Know, for Search","Communications"
"2018-03-24 04:18:05","123.30.245.224","tcp",9200,"static.vnpt.vn","elasticsearch","1.3.2",45899,"VN","HA NOI","HANOI",0,0,,"Foxfire",,200,"dee175dbe2f254f3f26992f5d7591939aaefd12f","2014-08-13T14:29:30Z","false","4.9","You Know, for Search","Communications"
"2018-03-24 04:18:06","118.69.135.118","tcp",9200,,"elasticsearch","6.1.2",18403,"VN","HA NOI","HANOI",518111,737401,,"LB6tYDE","elasticsearch",,"5b1fea5",,"false","7.1.0","You Know, for Search","Communications"
"2018-03-24 04:18:22","123.30.149.31","tcp",9200,"static.vnpt.vn","elasticsearch","1.7.6",45899,"VN","HA NOI","HANOI",0,0,,"Manta","openpage-qa-server",200,"c730b59357f8ebc555286794dcd90b3411f517c9","2016-11-18T15:21:16Z","false","4.10.4","You Know, for Search","Communications"
"2018-03-24 04:18:46","118.69.168.147","tcp",9200,,"elasticsearch","5.4.0",18403,"VN","HA NOI","HANOI",518111,737401,,"FEi5zHy","docker-cluster",,"780f8c4",,"false","6.5.0","You Know, for Search","Communications"
"2018-03-24 04:19:35","118.69.52.190","tcp",9200,,"elasticsearch","5.6.1",18403,"VN","HA NOI","HANOI",518111,737401,,"5fkFc1B","docker-cluster",,"667b497",,"false","6.6.1","You Know, for Search","Communications"
"2018-03-24 04:19:39","222.252.27.138","tcp",9200,"static.vnpt-hanoi.com.vn","elasticsearch","5.6.3",45899,"VN","HA NOI","HANOI",0,0,,"dev-node-1","dev-log1",,"1a2f265",,"false","6.6.1","You Know, for Search","Communications"
"2018-03-24 04:19:39","42.119.253.106","tcp",9200,,"elasticsearch","6.2.3",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,,"TwPt5g-","elasticsearch",,"c59ff00",,"false","7.2.1","You Know, for Search","Communications"
"2018-03-24 04:19:40","116.212.37.59","tcp",9200,,"elasticsearch","5.6.3",55322,"VN","NGHE AN","VINH",0,0,,"uRL3Fgr","elasticsearch",,"1a2f265",,"false","6.6.1","You Know, for Search","Communications"
"2018-03-24 04:19:41","103.199.8.43","tcp",9200,,"elasticsearch","5.2.2",45899,"VN","HA NOI","HANOI",0,0,,"VS00273-43","dev-facecar",,"f9d9b74",,"false","6.4.1","You Know, for Search","Communications"
"2018-03-24 04:20:01","112.213.86.228","tcp",9200,"mx86228.superdata.vn","elasticsearch","1.7.6",45544,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,,"Lockheed","elasticsearch",200,"c730b59357f8ebc555286794dcd90b3411f517c9","2016-11-18T15:21:16Z","false","4.10.4","You Know, for Search","Communications"
"2018-03-24 04:21:12","210.211.116.193","tcp",9200,,"elasticsearch","1.7.3",38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,,"Styx and Stone","elasticsearch",200,"05d4530971ef0ea46d0f4fa6ee64dbc8df659682","2015-10-15T09:14:17Z","false","4.10.4","You Know, for Search","Communications"
