"timestamp","src_ip","src_asn","src_geo","src_region","src_port","dst_ip","dst_asn","dst_geo","dst_region","dst_port","protocol","tag","hostname","sysdesc","sysname","http_url","http_agent","http_host","http_referer","http_referer_ip","http_referer_asn","http_referer_geo","http_referer_region","forwarded_by"
"2018-03-24 00:09:38","2001:ee0:45c8:6d30:12f9:6fff:fe57:4106",7643,"VN",,60637,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /aum/api/1/ HTTP/1.1",,"u.amobisc.com",,,,,,
"2018-03-24 00:20:52","2001:ee0:4845:3d70:5c77:8cdb:8622:c7d0",7643,"VN",,50902,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /home.gif?1f4807=6150165 HTTP/1.1","Opera/9.50 (Windows NT 6.0; U; en)","kukutrustnet777.info",,,,,,
"2018-03-24 00:29:17","2405:4800:264e:b66d:8042:b1e6:43e0:a37b",237,"VN",,59900,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","SpringBoard/50 CFNetwork/711.3.18 Darwin/14.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 01:09:04","2001:ee0:5532:6c00:34fe:9c45:e37a:dd19",7643,"VN",,1028,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /?2fbbb=586545 HTTP/1.1","KUKU v5.06exp =9698435509","kukutrustnet777.info",,,,,,
"2018-03-24 01:30:41","2001:ee0:5138:1070:4c8e:5907:bc3b:b1a8",7643,"VN",,60917,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /aum/api/1/ HTTP/1.1",,"u.amobisc.com",,,,,,
"2018-03-24 01:34:35","2405:4800:2066:b577:b9db:1fd0:ecac:1662",237,"VN",,51436,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","iVMS-4500/20150820 CFNetwork/811.5.4 Darwin/16.7.0","init.icloud-analysis.com",,,,,,
"2018-03-24 01:52:23","2001:ee0:5657:1bc0:8c80:621e:c128:d733",7643,"VN",,49980,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /home.gif?3abeb5a=184795662 HTTP/1.1","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50728)","kukutrustnet777.info",,,,,,
"2018-03-24 02:07:38","2405:4800:60e4:c7f5:d19a:fced:8944:1c4c",237,"VN",,52850,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","iVMS-4500/20150820 CFNetwork/894 Darwin/17.4.0","init.icloud-analysis.com",,,,,,
"2018-03-24 02:13:07","2001:ee0:5752:6780:7db2:a9f1:a844:5e02",7643,"VN",,1070,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /?32193=1436421 HTTP/1.1","KUKU v5.06exp =29951542046","kukutrustnet777.info",,,,,,
"2018-03-24 02:27:21","2405:4800:406f:1667:d922:b65e:5dac:c406",237,"VN",,55201,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","Mercury/907 CFNetwork/808.0.2 Darwin/16.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 02:29:22","2405:4800:12b4:950e:1c8c:d0df:e8d7:5807",237,"VN",,37031,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 02:42:40","2405:4800:12b4:950e:f456:b6dc:c27d:1c62",237,"VN",,48534,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 02:50:50","2405:4800:58f7:4f12:c17a:7f35:539e:c88b",237,"VN",,59377,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /aum/api/1/ HTTP/1.1",,"u.amobisc.com",,,,,,
"2018-03-24 02:54:46","2001:ee0:5532:6c00:c00c:3fcd:811e:88af",7643,"VN",,1087,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /?30456=593154 HTTP/1.1","KUKU v5.06exp =9698435509","kukutrustnet777.info",,,,,,
"2018-03-24 02:55:49","2405:4800:12b4:950e:49fd:d3e8:88bb:ce16",237,"VN",,47936,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 03:05:09","2001:ee0:5533:94f0:fc63:40fb:bea5:cf4",7643,"VN",,47914,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /okla/api/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.2.2; V3+ Build/JDQ39)","mk.omkol.com",,,,,,
"2018-03-24 03:09:44","2405:4800:12b4:950e:288a:5ed9:e160:2ce9",237,"VN",,41844,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 03:13:53","2405:4800:148c:9747:f11a:e459:7a89:f0ba",237,"VN",,49169,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","SpringBoard/50 CFNetwork/711.1.16 Darwin/14.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 03:18:43","2405:4800:148c:9747:fcee:39ac:813e:8a0a",237,"VN",,49164,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","SpringBoard/50 CFNetwork/711.1.16 Darwin/14.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 03:19:44","2405:4800:5a9f:1ace:3c07:3735:e4c5:3b03",237,"VN",,50140,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","SpringBoard/50 CFNetwork/711.1.16 Darwin/14.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 03:24:39","2405:4800:60ff:4d98:198b:d896:eb8:249a",237,"VN",,53982,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 03:27:32","2405:4800:12d6:f09c:a0b7:aa24:a78a:e62b",237,"VN",,36936,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /okla/api/2 HTTP/1.1","Dalvik/1.6.0 (Linux; U; Android 4.2.2; mobiistar touch LAI 504Q Build/JDQ39)","mk.omkol.com",,,,,,
"2018-03-24 03:50:25","2405:4800:12fe:e1aa:d495:16d6:985d:9c98",237,"VN",,52827,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","WeChat/6.2.5.19 CFNetwork/887 Darwin/17.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 03:53:28","2405:4800:109e:b4b5:4871:a1bd:54f6:185f",237,"VN",,51786,"2a02:1668:1034::2",51088,"NL",,80,,"sality",,,,"GET /?e3bc9ff=477598718 HTTP/1.1","KUKU v5.02c =23849928125130","kukutrustnet777.info",,,,,,
"2018-03-24 03:57:14","2405:4800:12b4:950e:8104:be37:d2f8:329",237,"VN",,37715,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 04:25:20","2405:4800:12b4:950e:445d:81a2:4ac6:e396",237,"VN",,35586,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /agp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
"2018-03-24 04:32:07","2001:ee0:4041:757e:e9be:734d:47d:b9d3",7643,"VN",,63741,"2a02:1668:1034::2",51088,"NL",,80,,"xcodeghost",,,,"POST / HTTP/1.1","iVMS-4500/20150820 CFNetwork/711.3.18 Darwin/14.0.0","init.icloud-analysis.com",,,,,,
"2018-03-24 04:39:51","2405:4800:2d5e:b84a:282b:12f:c234:d42",237,"VN",,37181,"2a02:1668:1034::2",51088,"NL",,80,,"ghost-push",,,,"POST /igp/api/1/ HTTP/1.1",,"g.omlao.com",,,,,,
