timestamp,ip,asn,geo,url,type,http_agent,tor,src_port,p0f_genre,p0f_detail,hostname,dst_port,http_host,http_referer,http_referer_ip,http_referer_asn,http_referer_geo,dst_ip,dst_asn,dst_geo,naics,sic,http_referer_naics,http_referer_sic,sector,ssl_cipher,application,version
3/25/2018 0:21,113.160.227.180,45899,VN,/thread.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E),,54857,,,,80,else.timatiolimp.ru,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:21,14.236.247.168,45899,VN,/help.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E),,2664,,,,80,dghfhfgjfhjghj6699.net,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:22,14.185.180.71,45899,VN,/products/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/6.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729),,65021,,,,80,produkktc.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:22,116.118.63.9,7602,VN,/andro/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E),,50178,,,,80,comecomefindme.ru,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:23,116.96.254.230,7552,VN,/products/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),,50288,,,,80,produkktc.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:23,1.55.182.121,18403,VN,/bla30/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E),,63920,,,,80,and30.blabladomdom.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:24,116.96.209.241,7552,VN,/bla31/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),,33265,,,,80,and31.amainwrorldnancy4.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:24,14.236.209.255,45899,VN,/bla30/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; .NET CLR 1.1.4322; InfoPath.3),,49517,,,,80,and30.blabladomdom.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
3/25/2018 0:24,58.187.169.255,18403,VN,/products/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/6.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E),,11406,,,,80,produkktc.com,,,,,104.42.225.122,8075,US,518111,737401,,,Communications,,,
3/25/2018 0:25,14.177.152.101,45899,VN,/products/gate.php,andromeda-b66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0),,39983,,,,80,produkktc.com,,,,,104.42.225.122,8075,US,0,0,,,Communications,,,
