timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,initiator_spi,responder_spi,next_payload,exchange_type,flags,message_id,next_payload2,domain_of_interpretation,protocol_id,spi_size,notify_message_type
3/24/2018 0:14,118.70.183.101,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,6eae17d242f5e96c,11,5,0,0,0,0,,0,14
3/24/2018 0:14,101.53.33.162,udp,500,ci53.33-162.netnam.vn,isakmp-vulnerable,24176,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,6c47859686fac815,11,5,0,0,0,0,,0,14
3/24/2018 0:14,113.161.218.29,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,AN GIANG,LONG XUYEN,0,0,3e35c70729dfedef,a2692b7fa9f306f4,11,5,0,0,0,0,,0,14
3/24/2018 0:14,183.91.30.16,udp,500,static.cmcti.vn,isakmp-vulnerable,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,2ceb7782bdd32448,11,5,0,0,0,0,,0,14
3/24/2018 0:14,123.30.65.209,udp,500,static-customer-vdc2.com.vn,isakmp-vulnerable,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,57bb7df0e4da7c92,11,5,0,0,0,0,,0,14
3/24/2018 0:14,220.231.89.34,udp,500,localhost,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,583b1826d85adf2e,11,5,0,0,0,0,,0,14
3/24/2018 0:14,113.164.176.197,udp,500,,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,1d6ccd7a96b4d7a7,11,5,0,0,0,0,,0,14
3/24/2018 0:14,118.71.251.10,udp,500,ip-address-pool-xxx.fpt.vn,isakmp-vulnerable,18403,VN,HAI PHONG,HAI PHONG,518111,737401,3e35c70729dfedef,9639dcaa51520551,11,5,0,0,0,0,,0,14
3/24/2018 0:15,113.161.131.149,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,BA RIA-VUNG TAU,VUNG TAU,0,0,3e35c70729dfedef,5aa70f4e167e2eac,11,5,0,0,0,0,,0,14
3/24/2018 0:15,222.255.147.91,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,cd0eefc733c6ff8c,11,5,0,0,0,0,,0,14
3/24/2018 0:15,115.78.162.3,udp,500,,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,2fe53ce9aa25db0a,11,5,0,0,0,0,,0,14
3/24/2018 0:15,202.60.111.98,udp,500,,isakmp-vulnerable,24088,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,be0969583423d7eb,11,5,0,0,0,0,,0,14
3/24/2018 0:15,115.78.166.162,udp,500,,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,91a464ebff80c34c,11,5,0,0,0,0,,0,14
3/24/2018 0:15,113.161.41.59,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,e56aec36ba4e2cab,11,5,0,0,0,0,,0,14
3/24/2018 0:15,27.72.77.158,udp,500,,isakmp-vulnerable,7552,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,570e2eab08f23dda,11,5,0,0,0,0,,0,14
3/24/2018 0:15,113.160.180.2,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,THANH HOA,THANH HOA,0,0,3e35c70729dfedef,7f8ba80801a8d7b2,11,5,0,0,0,0,,0,14
3/24/2018 0:15,115.79.56.247,udp,500,,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,2eefee35d9a94c58,11,5,0,0,0,0,,0,14
3/24/2018 0:15,118.69.191.140,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,b910f08fdbcce3b3,11,5,0,0,0,0,,0,14
3/24/2018 0:15,119.17.202.142,udp,500,static.netnam.vn,isakmp-vulnerable,24173,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,915c7d5963e69c32,11,5,0,0,0,0,,0,14
3/24/2018 0:15,123.30.142.10,udp,500,static.vnpt.vn,isakmp-vulnerable,7643,VN,CAN THO,CAN THO,0,0,3e35c70729dfedef,0e63b294c05a1f79,11,5,0,0,0,0,,0,14
3/24/2018 0:15,14.177.64.5,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,6222131b2fe7b254,11,5,0,0,0,0,,0,14
3/24/2018 0:15,202.59.238.62,udp,500,,isakmp-vulnerable,55315,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,45175ad51320c6f7,11,5,0,0,0,0,,0,14
3/24/2018 0:15,115.78.134.53,udp,500,,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,f1fc701055c317c0,11,5,0,0,0,0,,0,14
