timestamp,ip,protocol,port,hostname,tag,header,asn,geo,region,city,systime,cache_control,location,server,search_target,unique_service_name,host,nts,nt,naics,sic,sector
3/25/2018 7:09,112.72.90.55,udp,1900,,ssdp,HTTP/1.1 200 OK,45539,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 07:09:07 GMT",max-age=1800,http://192.168.1.1:49153/gatedesc.xml,"Linux/2.6.32.11, UPnP/1.0, Portable SDK for UPnP devices/1.6.6",upnp:rootdevice,uuid:75802409-bccb-40e7-8e6c-fa095ecce13e::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:09,14.177.1.163,udp,3123,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 07:09:09 GMT",max-age=100,http://192.168.1.1:49152/description.xml,"Linux/2.6.21, UPnP/1.0, Portable SDK for UPnP devices/1.3.1",upnp:rootdevice,uuid:28802880-2880-1880-a880-00304fa47ae8::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:09,222.254.52.144,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:15fcc86b-70d8-4c99-869d-99568c2045d4,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:15fcc86b-70d8-4c99-869d-99568c2045d4::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:09,113.167.46.55,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:c83a355d-9fb0-b09f-5d35-3ac83a5db00000,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:c83a355d-9fb0-b09f-5d35-3ac83a5db00000::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:09,115.79.231.228,udp,55297,adsl.viettel.vn,ssdp,HTTP/1.1 200 OK,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,"Fri, 23 Mar 2018 07:17:51 GMT",max-age=3600,http://192.168.1.106:49152/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-DS-2CD2420F-IW-1_0-746949008::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:09,171.224.20.8,udp,48384,,ssdp,HTTP/1.1 200 OK,7552,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 14:13:22 GMT",max-age=3600,http://192.168.1.8:49153/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-DS-2CD2020F-I-1_0-151638980::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:09,123.23.57.69,udp,1900,,ssdp,HTTP/1.1 200 OK,45899,VN,DONG NAI,BIEN HOA,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:94fbb287-2f4c-4c2f-87b2-fb94fb874c0000,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:94fbb287-2f4c-4c2f-87b2-fb94fb874c0000::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,113.170.27.39,udp,57695,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,BINH THUAN,PHAN THIET,"Sun, 25 Mar 2018 14:17:01 GMT",max-age=3600,http://192.168.1.3:49152/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-HDS-2020IRPW-1_0-746141134::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,42.114.134.12,udp,1900,,ssdp,HTTP/1.1 200 OK,18403,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 07:10:13 GMT",max-age=1800,http://192.168.1.1:49152/gatedesc.xml,"Linux/2.6.32.11, UPnP/1.0, Portable SDK for UPnP devices/1.6.6",upnp:rootdevice,uuid:75802409-bccb-40e7-8e6c-fa095ecce13e::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,27.68.84.218,udp,1900,localhost,ssdp,HTTP/1.1 200 OK,7552,VN,TIEN GIANG,CAI BE,"Tue, 11 Dec 2007 09:13:18 GMT",max-age=1800,http://192.168.1.113:49152/description.xml,"Linux/2.6.5-it0, UPnP/1.0, Intel SDK for UPnP devices /1.2",upnp:rootdevice,uuid:{59765E24-0C12-4d20-BsdsEE-71578AE02CB9}_e0:61:b2:05:e5:01::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,14.229.3.183,udp,58103,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 14:16:21 GMT",max-age=3600,http://192.168.1.3:49152/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-DS-2CD2020F-I-1_0-830351027::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,14.232.22.19,udp,54412,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 14:07:07 GMT",max-age=3600,http://192.168.0.210:49152/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-DS-2CD2420F-IW-1_0-590741185::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,113.184.137.216,udp,56668,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,TIEN GIANG,CAI LAY,,max-age=1800,http://192.168.100.10:2027/,Linux/i686 UPnP/1.0 DLNADOC/1.50 Platinum/1.0.3.0,upnp:rootdevice,uuid:e2db2e8d-776e-7fa5-41cd-ec837b6eeecd::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,123.17.81.187,udp,58627,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,NGHE AN,VINH,"Sun, 25 Mar 2018 14:10:39 GMT",max-age=3600,http://192.168.1.64:49152/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-HIK-8N8020D-D-1_0-738739528::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,123.28.163.166,udp,1900,localhost,ssdp,HTTP/1.1 200 OK,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:0000e0d8-20a0-00e0-20a0-4888002808e0,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:0000e0d8-20a0-00e0-20a0-4888002808e0::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,116.104.56.166,udp,44786,,ssdp,HTTP/1.1 200 OK,7552,VN,HA TINH,HA TINH,"Sun, 25 Mar 2018 14:07:37 GMT",max-age=3600,http://192.168.1.64:49152/upnpdevicedesc.xml,"Linux/3.4.35, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-HIK-4N8220IW-D-1_0-751392126::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,115.74.13.121,udp,1900,adsl.viettel.vn,ssdp,HTTP/1.1 200 OK,7552,VN,BA RIA-VUNG TAU,VUNG TAU,,max-age=900,http://192.168.1.1:5555/DeviceDescription.xml,Allegro-Software-RomUpnp/4.07 UPnP/1.0 IGD/1.00,upnp:rootdevice,uuid:11111111-0000-c0a8-0101-28285d88c338::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,171.228.232.61,udp,58957,,ssdp,HTTP/1.1 200 OK,7552,VN,LAO CAI,LAO CAI,"Sun, 25 Mar 2018 14:10:03 GMT",max-age=3600,http://192.168.1.64:49153/upnpdevicedesc.xml,"Linux/3.4.35, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-HDS-PT7220IR-A-1_0-718496918::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,171.252.73.83,udp,1900,,ssdp,HTTP/1.1 200 OK,7552,VN,HA NOI,HANOI,"Tue, 11 Dec 2007 09:13:18 GMT",max-age=1800,http://192.168.1.39:49152/description.xml,"Linux/2.6.5-it0, UPnP/1.0, Intel SDK for UPnP devices /1.2",upnp:rootdevice,uuid:{59765E24-0C12-4d20-BsdsEE-71578AE02CB9}_e0:61:b2:25:03:23::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:10,183.80.250.253,udp,39407,,ssdp,HTTP/1.1 200 OK,18403,VN,HAI PHONG,HAI PHONG,"Sun, 25 Mar 2018 14:09:45 GMT",max-age=3600,http://192.168.1.200:49153/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-DS-2CD2420F-IW-1_0-815534096::upnp:rootdevice,,,,518111,737401,Communications
3/25/2018 7:11,117.6.222.241,udp,1900,,ssdp,HTTP/1.1 200 OK,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,,max-age=1800,http://192.168.1.1:52881/simplecfg.xml,OS 1.0 UPnP/1.0 Realtek/V1.0,upnp:rootdevice,uuid:63041253-1019-2006-1228-000000000000::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,113.167.79.5,udp,33174,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 14:15:12 GMT",max-age=3600,http://192.168.1.9:49152/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-DS-2CD2020F-I-1_0-826845331::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,123.16.19.31,udp,33625,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 14:14:02 GMT",max-age=1800,http://192.168.1.20:81/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.4.7",upnp:rootdevice,uuid:48343238-3330-3734-3235-8CE7482A604F::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,222.252.64.249,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:0000e098-20a0-00e0-20a0-488800e808e0,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:0000e098-20a0-00e0-20a0-488800e808e0::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,118.68.72.86,udp,1900,,ssdp,HTTP/1.1 200 OK,18403,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 07:11:25 GMT",max-age=1800,http://192.168.1.1:49152/gatedesc.xml,"Linux/2.6.32.11, UPnP/1.0, Portable SDK for UPnP devices/1.6.6",upnp:rootdevice,uuid:75802409-bccb-40e7-8e6c-fa095ecce13e::upnp:rootdevice,,,,518111,737401,Communications
3/25/2018 7:11,14.173.130.128,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,TAY NINH,TAY NINH,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:0000e0d8-20a0-00e0-20a0-4888002808e0,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:0000e0d8-20a0-00e0-20a0-4888002808e0::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,113.168.128.216,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,SON LA,SON LA,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:c83a355d-e910-10e9-5d35-3ac83a5d100000,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:c83a355d-e910-10e9-5d35-3ac83a5d100000::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,27.3.133.166,udp,38060,,ssdp,HTTP/1.1 200 OK,45543,VN,HAI PHONG,HAI PHONG,"Sun, 25 Mar 2018 07:11:31 GMT",max-age=1800,http://27.3.133.166:9197/dmr,"SHP, UPnP/1.0, Samsung UPnP SDK/1.0",upnp:rootdevice,uuid:a7b36e55-090c-4405-b698-f0babc88006d::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,123.28.168.218,udp,1900,localhost,ssdp,HTTP/1.1 200 OK,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:0000e0d8-20a0-00e0-20a0-4888002808e0,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:0000e0d8-20a0-00e0-20a0-4888002808e0::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:11,14.187.106.128,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:3d631724-9fb1-4fb3-a26e-dddbc824f435,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:3d631724-9fb1-4fb3-a26e-dddbc824f435::upnp:rootdevice,,,,0,0,Communications
