timestamp,ip,port,hostname,tag,handshake,asn,geo,region,city,rdp_protocol,cert_length,subject_common_name,issuer_common_name,cert_issue_date,cert_expiration_date,sha1_fingerprint,cert_serial_number,ssl_version,signature_algorithm,key_algorithm,sha256_fingerprint,sha512_fingerprint,md5_fingerprint,naics,sic,sector
3/24/2018 8:39,103.89.89.42,3389,,rdp,,135905,VN,HA NOI,HANOI,CredSSP_Enforced,2048,WIN-67FNMQRVGI3,WIN-67FNMQRVGI3,12/25/2017 3:52,6/26/2018 3:52,D2:C9:F0:D7:15:21:0D:F1:28:4D:11:8B:F3:4E:91:25:A3:9A:A7:FF,5C5C731BE8A0BEA1431B5F00F0328B8D,2,sha1WithRSAEncryption,rsaEncryption,71:89:D4:9E:4D:1A:D2:32:08:73:0C:CE:10:9A:57:12:5A:FF:02:DD:84:E2:64:D0:08:C3:6E:16:5B:48:EB:89,31:B2:F4:0D:1D:6B:FB:24:6B:2C:7B:69:EF:D2:0D:C7:47:4C:F0:27:EB:48:24:DA:F8:6F:CB:82:C5:91:3A:91:34:1F:F0:BC:8E:0D:23:CC:3B:88:18:92:89:78:F8:FA:11:47:6D:BA:4A:88:DA:94:6A:7E:53:61:7B:60:9E:54,6E:C3:89:BB:D6:3D:8A:33:45:6D:DE:92:71:52:29:02,0,0,Communications
3/24/2018 8:39,14.169.171.140,3389,static.vnpt.vn,rdp,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,CredSSP_Enforced,2048,DucToan-PC,DucToan-PC,3/22/2018 15:17,9/21/2018 15:17,86:D2:FD:4F:FF:3D:B9:EF:4E:1D:3F:4D:D3:56:C6:03:B3:C3:5F:33,7C05CF7DCDAB4DBC4D6FE23074655FBC,2,sha256WithRSAEncryption,rsaEncryption,99:F5:18:56:00:7B:62:00:8F:47:16:CC:BB:F0:67:69:E5:46:51:B3:B2:1C:82:26:44:02:91:B4:54:0B:FE:36,C3:05:7E:C8:2E:DB:C5:45:A1:76:D9:5D:89:88:E7:0F:0A:21:07:F4:1D:C8:8D:D2:CF:73:0E:DE:5E:04:80:16:86:28:EF:EA:88:5A:5F:4F:63:C0:F8:9C:08:57:1E:07:4C:B2:09:68:EA:41:C3:E4:62:EE:44:92:03:28:C8:C8,21:5F:C2:F3:8B:3E:38:FA:B1:80:22:2A:92:BC:1D:35,0,0,Communications
3/24/2018 8:39,27.0.15.197,3389,mx15197.superdata.vn,rdp,,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,RDP,2048,Vps15197,Vps15197,12/28/2017 2:16,6/29/2018 2:16,D3:BA:75:1B:A8:8E:27:81:1D:F2:5E:7F:BB:EB:AE:76:98:7E:D9:AD,206D94694D2B59A7457FB84D00640D8B,2,sha1WithRSAEncryption,rsaEncryption,65:40:05:D7:25:38:CD:3C:CF:E5:4B:B6:A8:D7:4A:E9:58:4C:73:B6:D7:0D:1F:43:B0:05:51:5C:76:D7:78:85,71:5F:10:F5:4A:FA:45:1C:F9:AA:5E:DA:DA:B3:16:75:12:A4:D9:92:B2:23:62:57:A2:64:7D:05:73:56:2E:21:3A:84:5D:47:72:64:5C:D0:55:39:22:C0:76:91:27:25:0B:72:A7:C8:63:3B:D0:3A:E1:10:C6:BF:41:B3:E1:55,61:03:0D:82:96:D6:0C:B7:8F:6D:A3:30:EB:F8:A2:46,0,0,Communications
3/24/2018 8:39,103.90.226.188,3389,,rdp,,135905,VN,HO CHI MINH,THANH PHO HO CHI MINH,CredSSP_Enforced,2048,vps_nguyenduy,vps_nguyenduy,11/19/2017 2:56,5/21/2018 2:56,0D:6A:DF:1C:2B:EF:50:B8:8E:EB:53:26:3E:82:A4:96:39:72:68:15,25E1BD6D77A3F2B2452FF17C8A88AE53,2,sha1WithRSAEncryption,rsaEncryption,05:F9:C1:8D:80:D5:02:13:8A:A1:45:27:63:1D:59:79:79:81:05:85:A3:F8:06:89:27:D3:64:1E:00:61:4F:3C,CB:8B:30:7F:33:CB:37:78:A3:19:5C:D6:61:34:61:DB:D6:C1:CA:01:66:82:9B:BB:1E:CC:74:30:A2:84:E5:0B:9F:18:F6:DC:E2:98:58:69:0A:70:EE:6C:D3:D3:35:0B:22:42:89:1B:EB:A9:FC:AF:46:CC:8C:98:F5:B6:59:BD,87:FC:6A:FC:66:11:15:85:53:81:BB:FB:0A:8A:16:92,0,0,Communications
3/24/2018 8:39,118.70.133.181,3389,mail.bpnm.vn,rdp,,18403,VN,HA NOI,HANOI,RDP,2048,MailSV-PC,MailSV-PC,11/13/2017 6:00,5/15/2018 6:00,CA:D5:E7:70:D0:52:C3:B5:9C:B9:83:78:22:99:45:FD:46:71:4D:F3,6DD0EB919E16CAB24E8DE3F112397654,2,sha1WithRSAEncryption,rsaEncryption,C6:4A:32:B7:10:03:91:52:1D:93:CC:6E:6C:6F:97:B0:97:43:B3:DC:14:5D:26:9E:77:43:F1:59:27:3B:59:3D,BE:47:DA:E9:A8:DE:85:F9:C4:D5:8F:AA:04:E9:54:37:E7:23:95:B6:41:8A:47:31:A0:B5:EE:A6:36:58:EC:C4:CE:40:C1:FE:F8:43:12:20:D9:A5:47:8C:07:07:C6:5D:F3:DD:52:18:A8:FD:4B:AB:4F:DD:AE:61:9B:59:F4:F0,00:F9:53:25:4A:54:FF:50:6B:97:AF:4C:63:F7:EB:CE,518111,737401,Communications
3/24/2018 8:39,182.237.23.201,3389,,rdp,,55309,VN,HO CHI MINH,THANH PHO HO CHI MINH,CredSSP_Enforced,2048,DESKTOP-7Q8JBJ8,DESKTOP-7Q8JBJ8,2/14/2018 1:53,8/16/2018 1:53,A5:69:5A:94:E5:7C:D3:FB:E7:AA:82:27:F5:ED:B5:84:13:4A:B3:DC,3E8C78D6BA4E18804954C9F2D8D6D8E3,2,sha256WithRSAEncryption,rsaEncryption,E1:8E:7C:EC:AD:1B:4F:1F:26:E2:51:93:68:31:00:35:ED:6F:65:D7:6C:BC:35:50:DF:50:36:D2:E1:0F:F5:E6,42:2B:C7:DD:A4:9B:80:0F:39:15:78:E0:02:78:0B:56:94:CD:E0:67:58:B4:FD:45:F3:B4:F8:21:A1:0E:1B:36:2B:BC:96:A3:C1:0B:09:9A:6A:80:A2:40:84:B9:B6:DF:AA:92:DD:52:3E:F0:4D:02:67:BA:00:E3:4C:83:46:9D,DB:62:8C:01:1A:E5:81:A9:19:AD:64:5C:A9:42:8A:2E,0,0,Communications
3/24/2018 8:39,113.161.212.95,3389,static.vnpt.vn,rdp,,45899,VN,AN GIANG,LONG XUYEN,RDP,,,,,,,,,,,,,,0,0,Communications
3/24/2018 8:39,45.121.163.2,3389,,rdp,,56149,VN,HA NOI,HANOI,CredSSP_Enforced,2048,WINDOWS-7J0YUZD,WINDOWS-7J0YUZD,1/24/2018 18:00,7/26/2018 18:00,BC:A3:A0:39:AE:66:5C:E7:37:26:8A:D8:A2:6F:4D:B1:9F:C2:B9:32,25E719627F76A0BA424058FEBD47CC48,2,sha1WithRSAEncryption,rsaEncryption,F1:7D:4B:F0:97:51:3A:E6:6F:04:B4:D6:EA:03:D5:9C:80:3B:6B:52:15:6D:6E:82:FB:23:CE:DA:E8:AB:47:C5,E4:99:0A:DF:F3:3D:95:7B:AB:A6:21:43:B2:B6:5A:F2:29:45:CE:AE:4D:99:28:51:2C:43:50:FF:08:B3:92:E7:BE:66:F9:AA:86:3A:89:A4:9D:3F:DE:94:0C:E8:28:C2:99:3D:B3:29:75:B1:40:B1:F1:86:9E:F1:7A:33:92:E8,80:95:26:60:FC:86:C9:D1:28:3C:B2:94:1C:FB:26:D3,0,0,Communications
3/24/2018 8:39,171.244.4.171,3389,,rdp,,38731,VN,HA NOI,HANOI,RDP,2048,WIN-S2ERMGMIOLH,WIN-S2ERMGMIOLH,11/19/2017 8:59,5/21/2018 8:59,EF:1D:27:91:34:B1:22:2A:D6:71:BC:40:C2:C4:09:59:45:41:10:67,12EAFA64769447B74FC02BD393424D1A,2,sha1WithRSAEncryption,rsaEncryption,47:25:35:6A:E9:4B:10:FE:04:5F:10:D6:41:DE:C0:C8:51:5A:6C:B0:E5:B9:57:AC:74:A4:08:CD:7E:C4:53:BB,96:01:6B:58:46:83:4A:45:8C:97:55:86:29:94:10:08:60:E4:8F:63:47:60:4C:1A:92:F6:CE:C6:84:16:1E:27:A7:05:77:8A:3E:4E:49:1D:A6:20:36:05:54:DE:95:A6:C6:3D:BD:0F:C2:72:2B:D4:37:FD:65:0C:6D:BE:FF:BF,83:A5:90:9A:8E:0E:6D:56:FE:E5:A7:B8:88:5D:0D:9B,0,0,Communications
3/24/2018 8:39,118.68.237.171,3389,,rdp,,18403,VN,THUA THIEN-HUE,HUE,RDP,2048,6WQ6TORJ1OSOXBQ,6WQ6TORJ1OSOXBQ,12/12/2017 9:57,6/13/2018 9:57,C0:55:51:FA:22:D4:54:E7:A2:C6:21:90:1E:4C:94:3B:A9:BC:23:75,61FE694230E0BDAB4E02A5799A3D1373,2,sha1WithRSAEncryption,rsaEncryption,64:73:F1:97:2B:0A:44:E4:58:2A:22:18:55:85:86:6D:8A:39:4E:A8:9B:F9:86:21:E1:CE:10:33:6F:5C:50:98,0E:3B:2B:0A:A1:1B:33:12:27:DB:71:45:24:0F:CA:36:1C:3E:65:0F:38:4C:C0:BA:EC:94:E0:08:4F:EA:5E:75:30:3E:39:72:04:C1:5D:9D:05:64:6D:20:38:9E:BA:F4:93:52:95:80:BA:8D:E4:14:F3:28:EA:78:B1:6F:39:F1,A5:C6:87:5E:87:6E:56:18:43:73:52:86:05:C4:A2:5B,518111,737401,Communications
