timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,http,http_code,http_reason,content_type,connection,www_authenticate,set_cookie,server,content_length,transfer_encoding,date
3/24/2018 0:02,113.166.96.159,tcp,7547,static.vnpt.vn,cwmp,45899,VN,QUANG NGAI,QUANG NGAI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.165.136.192,tcp,7547,static.vnpt.vn,cwmp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.166.88.147,tcp,7547,static.vnpt.vn,cwmp,45899,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.166.20.113,tcp,7547,static.vnpt.vn,cwmp,45899,VN,QUANG NGAI,QUANG NGAI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.166.193.255,tcp,7547,static.vnpt.vn,cwmp,45899,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.166.68.40,tcp,7547,static.vnpt.vn,cwmp,45899,VN,THUA THIEN-HUE,HUE,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.166.10.56,tcp,7547,static.vnpt.vn,cwmp,45899,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,123.26.52.186,tcp,7547,localhost,cwmp,45899,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.166.231.162,tcp,7547,static.vnpt.vn,cwmp,45899,VN,GIA LAI,PLEIKU,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,123.26.54.132,tcp,7547,localhost,cwmp,45899,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,27.71.184.244,tcp,7547,localhost,cwmp,7552,VN,KHANH HOA,NHA TRANG,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.165.255.89,tcp,7547,static.vnpt.vn,cwmp,45899,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,14.186.232.222,tcp,7547,static.vnpt.vn,cwmp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,HTTP/1.1,401,Authorization Required,,close,"Digest realm=""TR069 Client"", qop=""auth"", nonce=""lsdh30+Gr9X9DL1vql/WBp0tVQnkJ1V"", algorithm=""MD5"", domain=""/""",,TR069 client TCP connection request Server,0,,
3/24/2018 0:02,113.172.134.172,tcp,7547,static.vnpt.vn,cwmp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,HTTP/1.1,401,Authorization Required,,close,"Digest realm=""TR069 Client"", qop=""auth"", nonce=""lGUJyblqE7SbrOXmm1hj3AWVzoQ628G"", algorithm=""MD5"", domain=""/""",,TR069 client TCP connection request Server,0,,
3/24/2018 0:02,113.166.17.162,tcp,7547,static.vnpt.vn,cwmp,45899,VN,QUANG NGAI,QUANG NGAI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.166.69.165,tcp,7547,static.vnpt.vn,cwmp,45899,VN,THUA THIEN-HUE,HUE,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,203.210.255.173,tcp,7547,adsl.hnpt.com.vn,cwmp,45899,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,14.170.63.100,tcp,7547,static.vnpt.vn,cwmp,45899,VN,THANH HOA,THANH HOA,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.167.149.132,tcp,7547,static.vnpt.vn,cwmp,45899,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,123.26.59.174,tcp,7547,localhost,cwmp,45899,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,14.165.128.200,tcp,7547,static.vnpt.vn,cwmp,45899,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.166.230.20,tcp,7547,static.vnpt.vn,cwmp,45899,VN,GIA LAI,PLEIKU,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,113.165.54.79,tcp,7547,static.vnpt.vn,cwmp,45899,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
3/24/2018 0:02,103.221.226.132,tcp,7547,,cwmp,63747,VN,HA NOI,HANOI,0,0,HTTP/1.1,404,Not Found,text/html,,,,RomPager/4.07 UPnP/1.0,,chunked,
