timestamp,ip,asn,geo,url,type,http_agent,tor,src_port,p0f_genre,p0f_detail,hostname,dst_port,http_host,http_referer,http_referer_ip,http_referer_asn,http_referer_geo,dst_ip,dst_asn,dst_geo,naics,sic,http_referer_naics,http_referer_sic,sector,ssl_cipher,application,version
3/25/2018 00:00,113.169.112.239,45899,VN,GET /search?q=194 HTTP/1.0,downadup,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1),,1938,,,static.vnpt.vn,80,104.244.14.252,,,,,104.244.14.252,393667,US,0,0,,,Communications,,,
3/25/2018 00:00,42.117.52.250,18403,VN,GET /search?q=2512 HTTP/1.0,downadup,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322),,1499,,,,80,104.244.14.252,,,,,104.244.14.252,393667,US,0,0,,,Communications,,,
3/25/2018 00:00,222.253.145.118,45899,VN,GET /search?q=0 HTTP/1.0,downadup,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; SV1; .NET CLR 1.1.4322),,51342,,,static.vnpt.vn,80,104.244.14.252,,,,,104.244.14.252,393667,US,0,0,,,Communications,,,
3/25/2018 00:00,27.74.169.215,7552,VN,GET /search?q=206 HTTP/1.1,downadup,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022),,1503,,,localhost,80,104.244.14.252,,,,,104.244.14.252,393667,US,0,0,,,Communications,,,
