timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,programs,mountd_port,exports,sector
3/24/2018 3:10,103.20.144.11,udp,111,,portmapper,45552,VN,DIEN BIEN,DIEN BIEN,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 35571/udp; 100024 1 52783/udp;,,,Communications
3/24/2018 3:10,42.112.27.29,udp,111,,portmapper,18403,VN,HA NOI,HANOI,518111,737401,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 44312/udp; 100024 1 43298/udp;,,,Communications
3/24/2018 3:10,112.78.2.135,udp,111,,portmapper,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100011 1 875/udp; 100011 2 875/udp; 100011 1 875/udp; 100011 2 875/udp; 100005 1 46497/udp; 100005 1 42278/udp; 100005 2 45031/udp; 100005 2 54823/udp; 100005 3 45840/udp; 100005 3 55922/udp; 100024 1 39605/udp; 100024 1 40323/udp;,,,Communications
3/24/2018 3:10,103.75.180.226,udp,111,,portmapper,38733,VN,BAC NINH,BAC NINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 49531/udp; 100024 1 60734/udp;,,,Communications
3/24/2018 3:10,45.117.168.222,udp,111,mx168222.superdata.vn,portmapper,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Communications
3/24/2018 3:10,113.171.23.136,udp,111,static.vnpt.vn,portmapper,45899,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 33512/udp; 100024 1 36565/udp;,,,Communications
3/24/2018 3:10,222.255.27.207,udp,111,monitor.admicro.vn,portmapper,45899,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 38043/udp; 100024 1 36063/udp; 100021 1 34909/udp; 100021 3 34909/udp; 100021 4 34909/udp; 100021 1 33263/udp; 100021 3 33263/udp; 100021 4 33263/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp;,,,Communications
3/24/2018 3:10,125.212.250.15,udp,111,,portmapper,38731,VN,DONG NAI,BIEN HOA,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 55055/udp; 100024 1 52509/udp; 100005 1 59655/udp; 100005 1 39627/udp; 100005 2 52669/udp; 100005 2 58844/udp; 100005 3 39906/udp; 100005 3 36002/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 100021 1 45772/udp; 100021 3 45772/udp; 100021 4 45772/udp; 100021 1 38910/udp; 100021 3 38910/udp; 100021 4 38910/udp;,59655,/tftpboot/images/centos5/diskless/snapshot 172.16.30.0/24;/data 172.16.30.0/24;/tftpboot/images/centos6/ramdisk-xen 172.16.30.0/24;/tftpboot/images/centos6/ramdisk-kvm 172.16.30.0/24;/tftpboot/images/centos5/ramdisk-xen 172.16.30.0/24;/tftpboot/export 172.16.30.0/24;/onapp/backups 172.16.30.0/24;/onapp/templates 172.16.30.0/24;,Communications
3/24/2018 3:10,125.235.242.148,udp,111,125.235.242.148.adsl.viettel.vn,portmapper,7552,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100005 3 38465/udp; 100005 1 38466/udp; 100003 3 38467/udp; 100024 1 42878/udp; 100024 1 49746/udp; 100021 4 38468/udp; 100021 1 663/udp; 100021 1 665/udp;,,,Communications
3/24/2018 3:10,223.27.108.84,udp,111,vs84.azhostvietsun.com,portmapper,38733,VN,HA NOI,HANOI,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 43544/udp; 100024 1 50366/udp;,,,Communications
