timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,pid,pointer_size,uptime,time,curr_connections,total_connections,sector
3/24/2018 7:17,27.0.12.185,tcp,11211,ns10.phuctoan.net,memcached,1.4.4,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,2779,64,237683,17:14.0,10,2182851,Communications
3/24/2018 7:17,123.30.110.246,tcp,11211,static.vnpt.vn,memcached,1.4.15,45899,VN,HA NOI,HANOI,0,0,3128,64,14190487,08:23.0,10,20638,Communications
3/24/2018 7:17,103.237.145.34,tcp,11211,,memcached,1.4.4,131414,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1662,64,23342542,17:12.0,10,513,Communications
3/24/2018 7:17,123.31.19.98,tcp,11211,localhost,memcached,1.4.37,45899,VN,HA NOI,HANOI,0,0,77782,64,6569252,00:00.0,10,272,Communications
3/24/2018 7:17,115.146.121.215,tcp,11211,,memcached,1.4.4,38732,VN,HA NOI,HANOI,0,0,3113,64,2393714,17:15.0,12,14206156,Communications
3/24/2018 7:17,45.252.250.229,tcp,11211,,memcached,1.4.32,63760,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,2241,64,1999705,00:00.0,2,121,Communications
3/24/2018 7:17,103.9.76.213,tcp,11211,,memcached,1.4.4,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,30519,64,11662,12:31.0,10,860,Communications
3/24/2018 7:17,27.0.12.102,tcp,11211,openminds.edu.vn,memcached,1.4.4-14-g9c660c0,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,2692,64,3057128249,32:52.0,13,474,Communications
3/24/2018 7:17,45.252.249.163,tcp,11211,,memcached,1.4.4,63760,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1177,64,3595364,05:07.0,10,35968,Communications
3/24/2018 7:17,125.253.119.169,tcp,11211,mx119169.digipower.com.vn,memcached,1.4.4,45538,VN,BA RIA-VUNG TAU,VUNG TAU,0,0,845,64,1551834,17:42.0,28,17490,Communications
3/24/2018 7:17,103.75.177.90,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14607,00:00.0,178,32276,Communications
3/24/2018 7:17,112.213.86.248,tcp,11211,mx86248.superdata.vn,memcached,1.4.4,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,24371,64,6393143,17:47.0,10,192,Communications
3/24/2018 7:17,112.213.91.171,tcp,11211,mail.batdongsanvtm.com,memcached,1.4.15,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,789,64,1709011,17:46.0,10,6197,Communications
3/24/2018 7:17,103.48.80.100,tcp,11211,sv-80100.bkns.vn,memcached,1.4.15,135905,VN,HA NOI,HANOI,0,0,865,64,5499261,17:29.0,10,25195,Communications
3/24/2018 7:17,221.132.27.141,tcp,11211,,memcached,UNKNOWN,45899,VN,HA NOI,HANOI,0,0,3178,64,9428563,00:00.0,12,3431,Communications
3/24/2018 7:17,103.75.177.128,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14608,00:00.0,182,32282,Communications
3/24/2018 7:17,103.75.177.130,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14610,00:00.0,185,32286,Communications
3/24/2018 7:17,42.112.29.35,tcp,11211,,memcached,1.4.4,18403,VN,HA NOI,HANOI,518111,737401,26590,64,37284618,17:50.0,10,851,Communications
3/24/2018 7:17,42.114.104.37,tcp,11211,,memcached,1.4.4,18403,VN,THANH HOA,THANH HOA,0,0,2635,64,4316116,17:50.0,58,1328,Communications
3/24/2018 7:18,45.125.236.88,tcp,11211,static.ftech.vn,memcached,1.4.4,45538,VN,HA NOI,HANOI,0,0,4472,64,10733044,18:09.0,10,1872117,Communications
3/24/2018 7:18,103.75.177.101,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14636,00:00.0,122,32380,Communications
3/24/2018 7:18,103.200.22.186,tcp,11211,,memcached,1.4.4,18403,VN,HA NOI,HANOI,0,0,1238,64,26437340,18:36.0,19,1511002,Communications
3/24/2018 7:18,45.125.236.172,tcp,11211,static.ftech.vn,memcached,1.4.4,45538,VN,HA NOI,HANOI,0,0,4472,64,10733069,18:34.0,11,1872123,Communications
3/24/2018 7:18,45.125.236.165,tcp,11211,static.ftech.vn,memcached,1.4.4,45538,VN,HA NOI,HANOI,0,0,4472,64,10733069,18:34.0,11,1872123,Communications
3/24/2018 7:18,125.212.221.29,tcp,11211,,memcached,1.4.4,38731,VN,HA NOI,HANOI,0,0,444,64,8608322,18:34.0,10,274,Communications
3/24/2018 7:18,103.75.177.92,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14656,00:00.0,176,32495,Communications
3/24/2018 7:18,45.125.236.206,tcp,11211,static.ftech.vn,memcached,1.4.4,45538,VN,HA NOI,HANOI,0,0,4472,64,10733070,18:35.0,10,1872124,Communications
3/24/2018 7:18,103.75.177.25,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14657,00:00.0,176,32496,Communications
3/24/2018 7:18,210.245.8.9,tcp,11211,,memcached,1.2.4,18403,VN,HA NOI,HANOI,518111,737401,1624,32,5829762,18:29.0,3,899069,Communications
3/24/2018 7:18,45.252.249.224,tcp,11211,,memcached,1.4.15,63760,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,317,64,15370771,56:19.0,10,411,Communications
3/24/2018 7:18,45.124.95.248,tcp,11211,,memcached,1.4.15,45899,VN,HA NOI,HANOI,0,0,650,64,1382066,18:38.0,10,58,Communications
3/24/2018 7:18,123.30.157.39,tcp,11211,static.vnpt.vn,memcached,1.4.37,45899,VN,HA NOI,HANOI,0,0,12145,64,6499643,00:00.0,14,28296,Communications
3/24/2018 7:18,203.162.31.186,tcp,11211,mail.quangnam.gov.vn,memcached,1.4.17,45899,VN,DA NANG,DA NANG,0,0,42503,64,78694,18:38.0,10,12300,Communications
3/24/2018 7:18,115.146.121.231,tcp,11211,,memcached,1.4.4,38732,VN,HA NOI,HANOI,0,0,3113,64,2393798,18:39.0,14,14206736,Communications
3/24/2018 7:18,163.44.206.222,tcp,11211,v163-44-206-222.a005.g.han1.static.cnode.io,memcached,1.4.35,131392,VN,HA NOI,HANOI,0,0,1,64,12354765,00:00.0,13,11126,Communications
3/24/2018 7:18,210.211.127.181,tcp,11211,,memcached,1.4.4,38731,VN,HA NOI,HANOI,0,0,27530,64,2314404,11:28.0,14,4064172,Communications
3/24/2018 7:18,113.61.111.250,tcp,11211,mail.textyle-vn.com,memcached,1.4.17,38738,VN,HA NOI,HANOI,0,0,17182,64,309880,09:55.0,10,24,Communications
3/24/2018 7:18,103.75.177.76,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14660,00:00.0,187,32508,Communications
3/24/2018 7:18,163.44.207.176,tcp,11211,v163-44-207-176.a006.g.han1.static.cnode.io,memcached,1.4.15,131392,VN,HA NOI,HANOI,0,0,800,64,9588835,18:40.0,10,6408,Communications
3/24/2018 7:18,123.30.50.74,tcp,11211,static.vnpt.vn,memcached,1.4.4,45899,VN,HA NOI,HANOI,0,0,3060,64,11335360,18:56.0,10,13781169,Communications
3/24/2018 7:18,45.252.248.236,tcp,11211,,memcached,1.4.4,63760,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1166,64,6100176,15:01.0,10,506,Communications
3/24/2018 7:18,171.244.34.251,tcp,11211,,memcached,1.4.4,38731,VN,HA NOI,HANOI,0,0,631,64,3879619,18:57.0,10,6258,Communications
3/24/2018 7:19,125.212.207.92,tcp,11211,,memcached,1.4.15,7552,VN,HA NOI,HANOI,0,0,1143,64,6843452,19:02.0,22,124352,Communications
3/24/2018 7:19,103.249.100.45,tcp,11211,mail.lafooco.vn,memcached,1.4.37,45538,VN,DONG NAI,BIEN HOA,0,0,12924,64,7669764,00:00.0,14,203,Communications
3/24/2018 7:19,45.125.239.204,tcp,11211,static.ftech.vn,memcached,1.4.4,18403,VN,HA NOI,HANOI,0,0,2160,64,27190537,07:42.0,10,22722,Communications
3/24/2018 7:19,45.252.248.158,tcp,11211,server.tronmedia.info,memcached,1.4.4,63760,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1119,64,309103,18:52.0,10,218245,Communications
3/24/2018 7:19,124.158.4.76,tcp,11211,srv76.ahdsoft.vn,memcached,1.4.15,38732,VN,HA NOI,HANOI,0,0,937,64,47618763,27:47.0,10,3996,Communications
3/24/2018 7:19,103.75.177.121,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14715,00:00.0,301,32783,Communications
3/24/2018 7:19,103.1.237.58,tcp,11211,mx23758.superdata.vn,memcached,1.4.4,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,12641,64,17668681,19:54.0,10,497,Communications
3/24/2018 7:19,103.28.38.169,tcp,11211,mail.shvina.com,memcached,1.4.17,131353,VN,HA NOI,HANOI,0,0,4427,64,8032747,21:16.0,14,3277,Communications
3/24/2018 7:19,45.117.160.7,tcp,11211,,memcached,1.4.4,38731,VN,HA NOI,HANOI,0,0,1047,64,31994844,19:45.0,11,759,Communications
3/24/2018 7:19,103.28.39.181,tcp,11211,,memcached,1.4.17,131353,VN,HA NOI,HANOI,0,0,30285,64,1630307,15:28.0,10,6190,Communications
3/24/2018 7:19,103.195.240.40,tcp,11211,no-ptr-record.unixdns.net,memcached,1.5.6,63740,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1,64,675871,00:00.0,2,15,Communications
3/24/2018 7:19,222.255.37.106,tcp,11211,hnicpmaa30.vnn.vn,memcached,2.0.1_macosx,45899,VN,HA NOI,HANOI,0,0,,64,2576860,19:49.0,13,,Communications
3/24/2018 7:19,222.255.175.134,tcp,11211,static.vnpt.vn,memcached,1.4.4,45899,VN,HA NOI,HANOI,0,0,1235,64,18044991,36:56.0,10,539,Communications
3/24/2018 7:20,210.245.90.164,tcp,11211,mail.honghajsc.com,memcached,1.4.17,18403,VN,HA NOI,HANOI,518111,737401,2458,64,1889359,23:03.0,10,6192,Communications
3/24/2018 7:20,103.68.82.113,tcp,11211,,memcached,1.4.4,45538,VN,HA NOI,HANOI,0,0,1616,64,795485,20:36.0,10,3067,Communications
3/24/2018 7:20,210.245.18.133,tcp,11211,,memcached,1.4.4,18403,VN,DONG NAI,BIEN HOA,518111,737401,10860,64,13579186,20:25.0,25,1446,Communications
3/24/2018 7:20,203.190.163.122,tcp,11211,,memcached,1.4.25,24086,VN,HA NOI,HANOI,0,0,30875,64,35861727,00:00.0,14,27717,Communications
