timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,opcode,errorcode,error,errormessage,size
3/24/2018 0:11,113.169.213.115,udp,12852,static.vnpt.vn,tftp,45899,VN,CAN THO,CAN THO,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:11,14.172.141.5,udp,49491,static.vnpt.vn,tftp,45899,VN,CAN THO,CAN THO,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,14.161.140.107,udp,45869,static.vnpt.vn,tftp,45899,VN,AN GIANG,LONG AN,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,118.71.197.85,udp,69,ip-address-pool-xxx.fpt.vn,tftp,18403,VN,HA NOI,HANOI,518111,737401,3,0,No Error,File Exists,4
3/24/2018 0:11,14.188.197.143,udp,39249,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,113.189.37.123,udp,51599,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,14.177.236.238,udp,55982,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,222.253.25.75,udp,19982,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:11,14.187.154.197,udp,56773,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,123.23.185.248,udp,69,,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,113.173.31.162,udp,34997,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,14.226.240.15,udp,60420,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
