timestamp,ip,port,hostname,asn,geo,region,city,naics,sic,smb_implant,arch,key
3/24/2018 10:52,103.1.210.50,445,,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:52,123.31.27.35,445,localhost,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:52,113.162.162.132,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,117.6.99.253,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,123.31.38.139,445,localhost,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:53,103.63.106.43,445,static.cmcti.vn,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,123.30.183.226,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:53,115.78.155.166,445,mail.zakkamart.com,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,180.93.210.158,445,,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,112.78.4.221,445,,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,210.211.124.108,445,,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:53,113.161.67.47,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,125.212.253.173,445,,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,103.9.159.95,445,,63730,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,103.9.156.165,445,,63730,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,125.212.217.106,445,,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,115.78.129.101,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,45.252.249.167,445,,63760,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,27.74.69.169,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:53,210.211.124.19,445,,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:53,113.161.78.203,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,14.174.118.114,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,123.31.40.130,445,localhost,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,103.48.80.38,445,sv-80038.bkns.vn,135905,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,117.6.161.127,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,27.75.208.22,445,localhost,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,116.108.241.86,445,,24086,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,137.59.45.10,445,,131429,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,222.252.29.23,445,static.vnpt-hanoi.com.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,123.24.206.98,445,,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,14.190.241.36,445,,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,101.99.29.168,445,static.cmcti.vn,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,103.238.212.30,445,,131428,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,113.161.153.94,445,static.vnpt.vn,45899,VN,DONG NAI,BIEN HOA,0,0,N,,
3/24/2018 10:54,210.211.108.248,445,,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,14.161.19.54,445,static.vdc.com.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,123.31.47.37,445,localhost,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,117.6.85.20,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,14.178.128.8,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:54,117.6.172.151,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:54,210.211.97.51,445,,38731,VN,DA NANG,DA NANG,0,0,N,,
